 gamma	phi_min	H_ext
  0.78539818525314331       -1400.8132655673405        1.4400000572204590     
  0.78539818525314331       -1400.8193924015791        1.4000000953674316     
  0.78539818525314331       -1400.8256519118165        1.3600000143051147     
  0.78539818525314331       -1400.8320462631707        1.3199999332427979     
  0.78539818525314331       -1400.8385795260415        1.2799999713897705     
  0.78539818525314331       -1400.8452559243283        1.2400000095367432     
  0.78539818525314331       -1400.8520779706005        1.2000000476837158     
  0.78539818525314331       -1400.8590500646276        1.1600000858306885     
  0.78539818525314331       -1400.8661761667709        1.1200000047683716     
  0.78539818525314331       -1400.8734609377882        1.0800000429153442     
  0.78539818525314331       -1400.8809073695311        1.0399999618530273     
  0.78539818525314331       -1400.8885203574059        1.0000000000000000     
  0.78539818525314331       -1400.8963050531422       0.96000003814697266     
  0.78539818525314331       -1400.9042648539503       0.92000007629394531     
  0.78539818525314331       -1400.9124051990359       0.87999999523162842     
  0.78539818525314331       -1400.9207316727909       0.84000003337860107     
  0.78539818525314331       -1400.9292482457993       0.80000007152557373     
  0.78539818525314331       -1400.9379609385592       0.75999999046325684     
  0.78539818525314331       -1400.9468759658002       0.72000002861022949     
  0.78539818525314331       -1400.9559979629823       0.68000006675720215     
  0.78539818525314331       -1400.9653336954391       0.63999998569488525     
  0.78539818525314331       -1400.9748901782305       0.60000002384185791     
  0.78539818525314331       -1400.9846728922269       0.56000006198883057     
  0.78539818525314331       -1400.9946895575190       0.51999998092651367     
  0.78539818525314331       -1401.0049482358611       0.48000001907348633     
  0.78539818525314331       -1401.0154555145748       0.44000005722045898     
  0.78539818525314331       -1401.0262203427569       0.40000009536743164     
  0.78539818525314331       -1401.0372522779694       0.36000001430511475     
  0.78539818525314331       -1401.0485592922794       0.32000005245208740     
  0.78539818525314331       -1401.0601527661988       0.28000009059906006     
  0.78539818525314331       -1401.0720421268804       0.24000000953674316     
  0.78539818525314331       -1401.0842394325364       0.20000004768371582     
  0.78539818525314331       -1401.0967578207749       0.16000008583068848     
  0.78539818525314331       -1401.1096092929238       0.12000000476837158     
  0.78539818525314331       -1401.1228096664336        8.0000042915344238E-002
  0.78539818525314331       -1401.1363733464918        4.0000081062316895E-002
  0.78539818525314331       -1401.1503190115973        0.0000000000000000     
  0.78539818525314331       -1401.1646640631277       -3.9999961853027344E-002
  0.78539818525314331       -1401.1794308039380       -7.9999923706054688E-002
  0.78539818525314331       -1401.1946408433823      -0.11999988555908203     
  0.78539818525314331       -1401.2103213271068      -0.15999984741210938     
  0.78539818525314331       -1401.2265003163177      -0.20000004768371582     
  0.78539818525314331       -1401.2432092062900      -0.24000000953674316     
  0.78539818525314331       -1401.2604861977607      -0.27999997138977051     
  0.78539818525314331       -1401.2783722841214      -0.31999993324279785     
  0.78539818525314331       -1401.2969154539701      -0.35999989509582520     
  0.78539818525314331       -1401.3161713255870      -0.39999985694885254     
  0.78539818525314331       -1401.3362050939036      -0.44000005722045898     
  0.78539818525314331       -1401.3570934732013      -0.48000001907348633     
  0.78539818525314331       -1401.3789286926190      -0.51999998092651367     
  0.78539818525314331       -1401.4018225643738      -0.55999994277954102     
  0.78539818525314331       -1401.4259139301319      -0.59999990463256836     
  0.78539818525314331       -1401.4513755121045      -0.63999986648559570     
  0.78539818525314331       -1401.4784308138189      -0.67999982833862305     
  0.78539818525314331       -1401.5073761130509      -0.72000002861022949     
  0.78539818525314331       -1401.5386187174547      -0.75999999046325684     
  0.78539818525314331       -1401.5727434295954      -0.79999995231628418     
  0.78539818525314331       -1401.6106507789607      -0.83999991416931152     
  0.78539818525314331       -1401.6538517334138      -0.87999987602233887     
  0.78539818525314331       -1401.7052957652468      -0.91999983787536621     
  0.78539818525314331       -1401.7725861179283      -0.96000003814697266     
  0.78539818525314331       -1401.9331478429940       -1.0000000000000000     
  0.78539818525314331       -1479.4207306397971       -1.0399999618530273     
  0.78539818525314331       -1479.4132839835231       -1.0799999237060547     
  0.78539818525314331       -1479.4059994149293       -1.1199998855590820     
  0.78539818525314331       -1479.3988735042803       -1.1599998474121094     
  0.78539818525314331       -1479.3919009877716       -1.1999998092651367     
  0.78539818525314331       -1479.3850785018558       -1.2400000095367432     
  0.78539818525314331       -1479.3784029018818       -1.2799999713897705     
  0.78539818525314331       -1479.3718692267373       -1.3199999332427979     
  0.78539818525314331       -1479.3654745001504       -1.3599998950958252     
  0.78539818525314331       -1479.3592152278593       -1.3999998569488525     
  0.78539818525314331       -1479.3530885805496       -1.4399998188018799     
  0.78539818525314331       -1479.3470900551199       -1.4800000190734863     
  0.78539818525314331       -1479.3412171191640       -1.5199999809265137     
  0.78539818525314331       -1479.3354671852524       -1.5599999427795410     
  0.78539818525314331       -1479.3298360349129       -1.5999999046325684     
  0.78539818525314331       -1479.3243213146955       -1.6399998664855957     
  0.78539818525314331       -1479.3189201523182       -1.6799998283386230     
  0.78539818525314331       -1479.3136302794424       -1.7200000286102295     
  0.78539818525314331       -1479.3084478797725       -1.7599999904632568     
  0.78539818525314331       -1479.3033708554217       -1.7999999523162842     
  0.78539818525314331       -1479.2983966230693       -1.8399999141693115     
  0.78539818525314331       -1479.2935232151713       -1.8799998760223389     
  0.78539818525314331       -1479.2887470583839       -1.9199998378753662     
  0.78539818525314331       -1479.2840663350191       -1.9599997997283936     
   1.5707963705062866       -1.5492041113505013       -2.0000000000000000     
   1.5707963705062866       -1.3705855395628406       -1.9600000381469727     
   1.5707963705062866       -1.2870646585535208       -1.9199999570846558     
   1.5707963705062866       -1.2226715562436321       -1.8799999952316284     
   1.5707963705062866       -1.1681120511723588       -1.8400000333786011     
   1.5707963705062866       -1.1197941129484368       -1.7999999523162842     
   1.5707963705062866       -1.0758829148552522       -1.7599999904632568     
   1.5707963705062866       -1.0352879447329644       -1.7200000286102295     
   1.5707963705062866      -0.99729909352023205       -1.6800000667572021     
   1.5707963705062866      -0.96142499030535289       -1.6399999856948853     
   1.5707963705062866      -0.92730868203658834       -1.6000000238418579     
   1.5707963705062866      -0.89467844498997329       -1.5599999427795410     
   1.5707963705062866      -0.86332459648695670       -1.5199999809265137     
   1.5707963705062866      -0.83308127943055899       -1.4800000190734863     
   1.5707963705062866      -0.80381207445018044       -1.4400000572204590     
   1.5707963705062866      -0.77540649246381932       -1.4000000953674316     
   1.5707963705062866      -0.74777108875333231       -1.3600000143051147     
   1.5707963705062866      -0.72082691172785407       -1.3199999332427979     
   1.5707963705062866      -0.69450639566425232       -1.2799999713897705     
   1.5707963705062866      -0.66875007515566687       -1.2400000095367432     
   1.5707963705062866      -0.64350877218308933       -1.2000000476837158     
   1.5707963705062866      -0.61873587539388764       -1.1600000858306885     
   1.5707963705062866      -0.59439256492837411       -1.1200000047683716     
   1.5707963705062866      -0.57044362819634875       -1.0800000429153442     
   1.5707963705062866      -0.54685724439880234       -1.0399999618530273     
   1.5707963705062866      -0.52360499239243397       -1.0000000000000000     
   1.5707963705062866      -0.50066092232416892      -0.96000003814697266     
   1.5707963705062866      -0.47800146685890893      -0.92000007629394531     
   1.5707963705062866      -0.45560419208747260      -0.87999999523162842     
   1.5707963705062866      -0.43345099366090400      -0.84000003337860107     
   1.5707963705062866      -0.41152273261550770      -0.80000007152557373     
   1.5707963705062866      -0.38980159137446752      -0.75999999046325684     
   1.5707963705062866      -0.36827347707709096      -0.72000002861022949     
   1.5707963705062866      -0.34692204548406191      -0.68000006675720215     
   1.5707963705062866      -0.32573492967072998      -0.63999998569488525     
   1.5707963705062866      -0.30469773030835368      -0.60000002384185791     
   1.5707963705062866      -0.28379887036224360      -0.56000006198883057     
   1.5707963705062866      -0.26302733391572208      -0.51999998092651367     
